held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,5,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,5,1.0,1.0,1.0,1.0
Benign::rep3,Benign,5,1.0,1.0,1.0,1.0
Benign::rep4,Benign,5,1.0,1.0,1.0,1.0
Benign::rep5,Benign,5,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,8,0.875,0.8889,0.8857,0.8714
Cerber::rep2,Cerber,10,0.8,0.75,0.631,0.7238
Cerber::rep3,Cerber,11,0.6364,0.6042,0.5208,0.5758
Cerber::rep4,Cerber,11,0.8182,0.75,0.56,0.7818
Cerber::rep5,Cerber,11,0.8182,0.75,0.56,0.7818
