held_out,family,n_test,accuracy,balanced_acc,macro_f1,weighted_f1
Benign::rep1,Benign,5,1.0,1.0,1.0,1.0
Benign::rep10,Benign,5,1.0,1.0,1.0,1.0
Benign::rep2,Benign,5,1.0,1.0,1.0,1.0
Benign::rep3,Benign,5,1.0,1.0,1.0,1.0
Benign::rep4,Benign,5,1.0,1.0,1.0,1.0
Benign::rep5,Benign,5,1.0,1.0,1.0,1.0
Benign::rep6,Benign,5,1.0,1.0,1.0,1.0
Benign::rep7,Benign,5,1.0,1.0,1.0,1.0
Benign::rep8,Benign,5,1.0,1.0,1.0,1.0
Benign::rep9,Benign,5,1.0,1.0,1.0,1.0
Cerber::rep1,Cerber,8,1.0,1.0,1.0,1.0
Cerber::rep2,Cerber,10,1.0,1.0,1.0,1.0
Cerber::rep3,Cerber,11,0.9091,0.875,0.8667,0.903
Cerber::rep4,Cerber,11,1.0,1.0,1.0,1.0
Cerber::rep5,Cerber,11,1.0,1.0,1.0,1.0
Dharma::rep1,Dharma,11,1.0,1.0,1.0,1.0
Dharma::rep2,Dharma,11,0.8182,0.75,0.56,0.7818
Dharma::rep3,Dharma,11,0.8182,0.75,0.7639,0.8081
Dharma::rep4,Dharma,11,0.6364,0.5833,0.5985,0.6129
Dharma::rep5,Dharma,11,0.6364,0.5417,0.5095,0.568
Jigsaw::rep1,Jigsaw,11,1.0,1.0,1.0,1.0
Jigsaw::rep2,Jigsaw,11,1.0,1.0,1.0,1.0
Jigsaw::rep3,Jigsaw,11,1.0,1.0,1.0,1.0
Jigsaw::rep4,Jigsaw,11,1.0,1.0,1.0,1.0
Jigsaw::rep5,Jigsaw,11,1.0,1.0,1.0,1.0
WannaCry::rep1,WannaCry,11,1.0,1.0,1.0,1.0
WannaCry::rep2,WannaCry,11,1.0,1.0,1.0,1.0
WannaCry::rep3,WannaCry,11,1.0,1.0,1.0,1.0
WannaCry::rep4,WannaCry,11,1.0,1.0,1.0,1.0
WannaCry::rep5,WannaCry,11,1.0,1.0,1.0,1.0
